Annual_Income,Earning_Members,Parent_Type,House_Type,Rent_Amount,Parent_Occupation,Job_Type,Loan_Burden,Medical_Expenditure,Any_Disability,Children_Studying,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Land_Owned,Agriculture_Income,Urban_Rural,First_Generation_Learner,Reimbursement_%
773290,2,Both Alive,Own,44602,Agriculture,Temporary,154237,41505,No,4,1233045,Hostel,6476,5.78,108261,Rural,no,50
774684,4,Single Mother,Rent,49334,Agriculture,Self-employed,3748,62699,Yes,2,657601,Hostel,19743,3.58,102466,Urban,no,100
164899,2,Both Alive,Own,68648,Unemployed,Permanent,26553,26957,No,2,817784,DayScholar,1004,2.75,295215,Urban,no,50
973324,1,Single Mother,Own,22054,Govt Job,Self-employed,116547,25464,Yes,2,1946983,DayScholar,43054,8.07,463819,Rural,yes,100
324767,2,Single Father,Own,70028,Daily Wage,Temporary,60380,23649,Yes,1,1414568,DayScholar,37485,3.67,455139,Rural,yes,100
999238,2,Single Mother,Rent,22207,Business,Temporary,44331,42065,Yes,2,770956,Hostel,3271,3.17,70560,Rural,yes,100
861882,3,Both Alive,Rent,80650,Business,Self-employed,120617,92661,No,2,1467230,Hostel,45482,8.5,466467,Rural,yes,50
879858,4,Both Alive,Own,99821,Foreign,Permanent,39560,34758,Yes,1,1016425,Hostel,209,8.46,255392,Urban,yes,100
379989,3,Both Alive,Own,81554,Govt Job,Self-employed,53865,5596,Yes,1,841431,Hostel,25463,3.56,261278,Rural,no,100
415515,3,Single Father,Own,21386,Govt Job,Self-employed,177758,16374,No,4,1601346,Hostel,5539,8.32,450708,Urban,yes,50
43585,3,Single Father,Rent,83276,Unemployed,Temporary,75910,3775,Yes,3,173543,Hostel,49305,8.51,424986,Rural,yes,100
371369,3,Both Alive,Own,59518,Govt Job,Permanent,135747,27388,No,0,1892287,Hostel,19977,4.24,338906,Urban,no,50
64044,3,Single Mother,Rent,52781,Daily Wage,Contract,197778,21029,No,0,381557,Hostel,8606,0.66,166471,Rural,no,100
960061,2,Single Father,Own,52780,Agriculture,Permanent,77986,83981,No,2,509964,DayScholar,44384,0.02,472164,Rural,no,0
442296,3,Both Alive,Own,61440,Govt Job,Self-employed,10068,53639,Yes,4,64213,Hostel,34052,5.23,244413,Rural,yes,100
109556,3,Both Alive,Own,44199,Govt Job,Self-employed,54460,14645,No,2,910341,Hostel,3148,3.44,188511,Urban,no,50
526981,4,Single Father,Own,61035,Unemployed,Self-employed,100766,31105,No,0,809458,Hostel,33536,9.97,437631,Urban,no,50
881691,1,Single Father,Own,8210,Private Job,Permanent,46418,13668,No,1,1297273,Hostel,5607,7.72,405785,Urban,no,0
767595,2,Single Father,Own,44363,Unemployed,Temporary,26206,15960,No,3,357328,DayScholar,19586,7.61,2369,Rural,yes,0
200235,2,Single Mother,Rent,78279,Unemployed,Self-employed,128180,11357,Yes,4,15435,Hostel,29250,9.55,372107,Urban,no,100
25939,2,Single Mother,Own,60348,Daily Wage,Self-employed,287,64604,No,1,149565,DayScholar,18594,8.88,228629,Rural,no,100
966429,3,Both Alive,Rent,55284,Foreign,Permanent,22337,51796,Yes,3,1261875,DayScholar,7399,3.18,262672,Rural,yes,100
960445,3,Single Father,Own,72124,Govt Job,Contract,151738,15804,No,4,855753,DayScholar,25117,1.66,108806,Rural,no,50
152906,3,Single Mother,Own,68847,Unemployed,Contract,132233,14626,Yes,4,930267,Hostel,33126,7.46,161386,Urban,yes,100
542335,4,Single Father,Rent,22432,Unemployed,Temporary,100667,28132,No,0,1341109,Hostel,33617,3.78,102979,Rural,yes,50
288249,1,Both Alive,Own,64089,Private Job,Temporary,90071,7951,Yes,1,41498,Hostel,7498,4.73,411263,Urban,no,100
75766,3,Single Mother,Rent,55398,Unemployed,Self-employed,98064,6449,No,4,1908763,DayScholar,37290,6.3,281892,Rural,yes,100
408923,1,Single Mother,Rent,99291,Business,Permanent,169823,19065,Yes,4,897977,DayScholar,45541,9.08,35109,Rural,no,100
415192,4,Single Mother,Own,3321,Foreign,Self-employed,106511,9130,Yes,3,570113,DayScholar,9628,4.19,13919,Rural,no,100
568550,2,Both Alive,Rent,81348,Govt Job,Temporary,145830,89360,Yes,0,1337654,DayScholar,329,7.83,309642,Urban,no,100
387261,3,Single Father,Rent,37383,Govt Job,Permanent,196852,62287,No,2,539862,Hostel,38619,2.68,317952,Urban,no,50
810208,1,Single Mother,Own,78682,Private Job,Permanent,3178,51702,Yes,0,1713562,Hostel,7032,6.98,211864,Rural,yes,100
685440,1,Both Alive,Rent,79190,Daily Wage,Temporary,31831,36993,Yes,2,1752115,Hostel,48094,0.02,70441,Urban,no,100
652664,3,Single Father,Own,52893,Govt Job,Contract,133248,31875,Yes,1,929091,DayScholar,38034,8.72,375987,Urban,no,100
984346,2,Both Alive,Own,35820,Business,Contract,103306,6054,Yes,1,52782,DayScholar,37122,0.3,336564,Rural,no,100
454589,2,Single Father,Own,66262,Govt Job,Permanent,164726,99809,No,4,1031728,Hostel,20622,7.13,422122,Rural,yes,50
137848,2,Both Alive,Own,3760,Business,Self-employed,157699,48517,Yes,1,457628,Hostel,28584,0.46,369591,Urban,yes,100
617075,4,Single Father,Rent,22190,Foreign,Contract,183622,76368,Yes,4,1119137,DayScholar,47850,2.66,464702,Rural,no,100
127948,1,Single Mother,Own,67411,Foreign,Self-employed,112025,29670,Yes,0,480440,Hostel,4722,4.97,66896,Rural,yes,100
579304,1,Single Father,Own,23377,Agriculture,Contract,175982,49112,No,1,931913,Hostel,17772,4.2,103431,Urban,yes,50
402690,1,Both Alive,Rent,46737,Agriculture,Contract,90417,88388,Yes,0,1972167,DayScholar,20569,1.92,415162,Urban,no,100
499046,4,Both Alive,Own,69569,Business,Self-employed,189323,89156,Yes,0,474535,DayScholar,41679,3.34,47020,Rural,no,100
451269,1,Single Father,Own,38211,Daily Wage,Temporary,166494,28307,Yes,1,1550808,DayScholar,3235,7.28,205338,Urban,no,100
21959,4,Single Mother,Rent,82909,Govt Job,Contract,11984,67087,Yes,0,561039,Hostel,4576,6.69,284305,Urban,no,100
660890,2,Single Mother,Rent,3744,Unemployed,Contract,89312,47922,No,1,1358894,DayScholar,26707,0.72,27738,Rural,no,0
750216,3,Single Father,Rent,24995,Govt Job,Self-employed,192458,63080,Yes,1,1967686,Hostel,33868,7.47,134997,Rural,yes,100
905533,1,Single Father,Rent,16977,Agriculture,Temporary,83291,93348,Yes,1,66572,Hostel,41632,0.53,401679,Rural,no,100
790180,1,Both Alive,Rent,97938,Unemployed,Contract,7135,79335,No,2,1906424,DayScholar,41476,5.43,57153,Rural,no,0
228576,2,Single Mother,Rent,34542,Business,Contract,320,26312,No,0,1463833,Hostel,30285,2.6,214020,Urban,no,50
537833,3,Single Father,Rent,10651,Unemployed,Temporary,152756,66985,No,3,426443,DayScholar,24154,5.88,61009,Urban,no,50
914091,4,Single Mother,Own,99239,Govt Job,Contract,186985,57608,Yes,1,1880209,DayScholar,20054,2.61,350082,Rural,no,100
983703,3,Single Father,Rent,78931,Govt Job,Temporary,88774,89962,No,0,46069,Hostel,17165,9.85,361690,Rural,yes,0
165838,2,Single Father,Rent,95344,Daily Wage,Temporary,152961,40277,Yes,4,747550,Hostel,14439,3.1,484469,Rural,no,100
335674,2,Single Mother,Rent,16715,Private Job,Self-employed,98071,31551,No,1,822802,DayScholar,44518,2.42,172624,Rural,yes,50
879989,3,Single Father,Own,44409,Unemployed,Permanent,179971,89813,Yes,1,1808954,DayScholar,22515,2.78,318415,Urban,no,100
61087,4,Single Father,Own,24306,Agriculture,Temporary,141842,56597,No,3,1970350,DayScholar,26962,8.96,271941,Urban,no,100
593128,4,Both Alive,Rent,19086,Agriculture,Self-employed,170393,45212,Yes,2,792533,DayScholar,42549,6.36,348274,Rural,no,100
118451,1,Single Father,Rent,14376,Private Job,Permanent,109863,9637,No,2,939090,DayScholar,37763,7.31,71942,Rural,yes,50
447600,4,Single Father,Rent,61350,Govt Job,Contract,41777,43258,Yes,1,715591,DayScholar,44754,9.18,118065,Urban,no,100
837437,3,Single Father,Own,71425,Daily Wage,Permanent,46250,35693,Yes,0,397902,Hostel,45278,9.12,276109,Urban,no,100
439792,2,Both Alive,Own,36636,Daily Wage,Temporary,73034,9824,Yes,4,1981402,Hostel,19464,7.39,275877,Urban,no,100
39353,1,Single Mother,Rent,86120,Agriculture,Temporary,104940,26950,Yes,4,1910302,Hostel,42036,1.98,446439,Urban,no,100
193075,1,Both Alive,Own,51649,Daily Wage,Temporary,40130,23488,Yes,0,1662332,Hostel,30413,8.43,389326,Rural,no,100
214283,2,Both Alive,Rent,34610,Foreign,Temporary,180418,215,Yes,1,694659,DayScholar,33270,2.04,157998,Urban,no,100
314877,4,Single Mother,Own,10058,Private Job,Temporary,133609,11523,Yes,4,1149291,Hostel,42299,7.43,159855,Urban,no,100
65318,2,Both Alive,Own,74637,Govt Job,Self-employed,15216,75900,Yes,2,1129369,Hostel,20269,6.86,83360,Urban,yes,100
765313,4,Single Mother,Rent,78033,Foreign,Temporary,84149,68689,No,0,449717,DayScholar,31541,7.59,167466,Rural,no,0
482690,2,Both Alive,Rent,70194,Private Job,Self-employed,3009,23834,Yes,3,722494,Hostel,8009,5.33,370522,Rural,no,100
416880,3,Single Mother,Rent,76917,Business,Contract,89904,34474,Yes,1,645960,DayScholar,17007,6.39,195868,Urban,no,100
591460,4,Single Father,Rent,64200,Unemployed,Temporary,160399,43066,No,0,412993,DayScholar,26462,9.53,290431,Urban,yes,50
740976,3,Both Alive,Own,46619,Agriculture,Temporary,145281,99871,Yes,4,1200897,DayScholar,11542,1.01,82104,Rural,yes,100
781239,1,Both Alive,Own,17154,Daily Wage,Permanent,179515,10400,No,1,1703766,DayScholar,17434,3.09,161508,Rural,no,50
93264,2,Both Alive,Own,19539,Business,Contract,15029,10345,Yes,2,1079966,DayScholar,29765,6.11,349060,Urban,yes,100
770746,1,Both Alive,Rent,60058,Daily Wage,Temporary,198685,33896,No,1,1078945,Hostel,23769,9.64,221404,Rural,no,50
813168,1,Single Father,Own,62068,Foreign,Temporary,188069,85430,No,1,153953,Hostel,22465,0.96,466783,Urban,no,50
225281,1,Both Alive,Rent,77313,Govt Job,Contract,102171,28899,Yes,2,1330307,Hostel,21868,0.23,480699,Rural,yes,100
637147,1,Single Father,Own,99932,Govt Job,Self-employed,114456,28229,No,2,234872,DayScholar,20156,0.56,265332,Urban,no,50
898613,2,Single Father,Rent,30373,Govt Job,Temporary,62559,5583,Yes,1,477543,Hostel,20300,0.52,91205,Urban,yes,100
394070,1,Single Father,Rent,33154,Daily Wage,Permanent,64892,4897,Yes,2,903441,Hostel,13435,9.08,232321,Rural,yes,100
352228,2,Single Father,Own,6031,Business,Temporary,70409,71537,Yes,0,491127,Hostel,4114,7.21,359493,Urban,yes,100
431839,2,Single Mother,Rent,93533,Govt Job,Permanent,139707,4567,Yes,2,491363,Hostel,46336,6.77,137837,Rural,no,100
269536,3,Single Mother,Rent,71975,Business,Permanent,33065,74807,No,2,772922,DayScholar,36135,5.23,444842,Rural,no,50
317824,4,Both Alive,Own,22785,Daily Wage,Temporary,120544,77239,Yes,1,935337,Hostel,8095,7.82,219779,Rural,no,100
257426,4,Single Mother,Rent,78928,Foreign,Temporary,107340,13329,No,0,1569366,DayScholar,37909,1.56,141879,Urban,no,50
177789,2,Single Mother,Rent,28669,Business,Permanent,33783,71792,No,3,1105589,DayScholar,3951,3.92,10204,Urban,no,50
513153,3,Both Alive,Rent,94475,Foreign,Contract,34152,228,Yes,3,651629,Hostel,21468,4.9,223674,Urban,no,100
742452,2,Both Alive,Own,2282,Daily Wage,Contract,58741,90282,Yes,4,924217,DayScholar,27073,1.1,189016,Rural,no,100
837291,2,Both Alive,Own,34624,Daily Wage,Temporary,107049,82214,Yes,2,1777556,DayScholar,47655,4.2,304264,Urban,yes,100
125657,2,Single Mother,Rent,48438,Agriculture,Self-employed,182574,37052,Yes,2,1205402,DayScholar,34341,3.17,102903,Urban,no,100
235167,3,Single Mother,Own,89900,Daily Wage,Contract,29092,57769,No,0,641872,DayScholar,46127,0.36,415874,Urban,no,50
681669,4,Both Alive,Rent,67534,Daily Wage,Temporary,148725,46032,Yes,3,88113,DayScholar,2768,1.37,299225,Urban,no,100
480671,3,Single Father,Rent,31705,Private Job,Contract,171541,88721,No,4,499847,DayScholar,38070,7.64,256687,Rural,yes,50
719094,1,Both Alive,Rent,38244,Govt Job,Self-employed,86483,33686,Yes,0,1931792,DayScholar,46514,0.18,34986,Urban,yes,100
70467,3,Single Father,Rent,74964,Agriculture,Temporary,121585,76981,Yes,2,1093858,Hostel,33979,9.34,341466,Rural,yes,100
183734,3,Single Father,Rent,37437,Unemployed,Self-employed,59754,98802,Yes,3,177809,Hostel,25351,0.86,356963,Rural,no,100
622794,3,Both Alive,Own,77872,Agriculture,Temporary,161050,63261,Yes,4,1569764,DayScholar,15445,7.99,392159,Rural,yes,100
109751,3,Both Alive,Rent,74878,Agriculture,Self-employed,87592,2809,No,1,1549219,DayScholar,48583,8.99,50304,Rural,yes,50
381050,4,Both Alive,Own,72982,Unemployed,Contract,94543,41785,No,3,296268,Hostel,1160,9.41,327736,Urban,no,50
930192,1,Single Mother,Own,50583,Private Job,Contract,43169,36547,Yes,4,1915110,Hostel,22361,8.67,320692,Urban,no,100
811774,4,Single Father,Rent,38392,Foreign,Self-employed,179359,42818,No,0,405412,Hostel,7041,2.88,360591,Urban,no,50
692517,4,Single Mother,Rent,7461,Daily Wage,Self-employed,54745,71927,No,1,1906535,Hostel,18767,3.33,39986,Rural,yes,0
461079,3,Single Mother,Own,10516,Govt Job,Self-employed,110168,65681,Yes,4,402515,DayScholar,10846,4.27,336239,Urban,no,100
368452,2,Both Alive,Own,79285,Business,Temporary,113985,79465,Yes,4,1975950,DayScholar,38644,1.39,91594,Rural,no,100
969587,2,Single Mother,Own,17514,Unemployed,Contract,5543,89862,No,2,106651,Hostel,19924,0.22,350425,Urban,no,0
106081,4,Both Alive,Rent,36268,Foreign,Temporary,187464,95527,No,3,1305125,Hostel,45657,8.69,66151,Urban,no,50
983237,4,Single Father,Own,90486,Unemployed,Contract,21067,37333,No,2,95395,Hostel,13882,5.54,335742,Urban,no,0
613333,3,Both Alive,Rent,36788,Daily Wage,Permanent,51033,16576,No,1,545633,Hostel,14738,6.09,290358,Rural,no,0
558986,4,Single Mother,Rent,75749,Private Job,Temporary,45256,39405,Yes,4,920976,DayScholar,21019,9.27,300889,Urban,yes,100
110078,3,Single Mother,Rent,61049,Unemployed,Contract,153263,94000,Yes,2,1879085,Hostel,1095,6.65,173620,Rural,no,100
867055,2,Both Alive,Own,62493,Daily Wage,Contract,86803,73779,No,3,1451149,Hostel,38669,6.91,141753,Rural,yes,0
22671,2,Both Alive,Rent,36027,Daily Wage,Temporary,118843,31601,Yes,1,1780336,Hostel,40983,7.87,138056,Rural,yes,100
418400,1,Single Mother,Rent,93547,Private Job,Temporary,28992,67946,No,0,1594919,DayScholar,45679,1.16,158651,Urban,no,50
355528,2,Single Father,Rent,42849,Agriculture,Contract,48803,67356,No,2,375837,DayScholar,14123,3.6,352954,Urban,yes,50
959611,4,Single Father,Rent,17858,Agriculture,Temporary,109975,52116,Yes,1,1143859,DayScholar,28132,9.68,234347,Rural,yes,100
610490,2,Both Alive,Rent,84162,Govt Job,Self-employed,194549,62894,No,0,1103060,Hostel,1079,9.23,186005,Rural,yes,50
51663,3,Single Father,Own,79003,Govt Job,Temporary,144282,34635,No,2,611802,Hostel,29657,8.84,420615,Rural,no,100
15708,2,Single Mother,Rent,52395,Agriculture,Temporary,26270,7465,Yes,1,1148711,Hostel,45278,4.52,162553,Rural,yes,100
878338,1,Both Alive,Rent,39758,Foreign,Temporary,193080,56754,Yes,1,307915,DayScholar,32375,8.57,944,Rural,yes,100
311955,2,Single Mother,Own,54312,Business,Contract,136269,97975,No,2,1564270,DayScholar,24754,0.48,93993,Urban,yes,50
133883,3,Single Mother,Rent,68670,Daily Wage,Self-employed,7452,92850,No,1,198726,Hostel,31153,1.49,271258,Urban,yes,50
318394,3,Single Father,Own,82279,Business,Permanent,41486,85119,Yes,4,1498332,Hostel,18344,4.14,301990,Urban,no,100
112547,4,Both Alive,Rent,15434,Daily Wage,Permanent,14859,92691,No,2,224223,DayScholar,34241,4.83,214738,Rural,no,50
989586,2,Both Alive,Own,64047,Agriculture,Self-employed,158308,38871,No,1,906716,Hostel,37656,2.64,208920,Rural,yes,50
910681,3,Single Father,Own,47775,Govt Job,Self-employed,162971,62874,Yes,0,1175975,Hostel,4979,3.56,256805,Urban,no,100
559042,1,Single Mother,Rent,75769,Foreign,Self-employed,32083,77733,Yes,0,1949893,Hostel,1212,1.63,294740,Urban,no,100
751102,4,Single Mother,Rent,66677,Govt Job,Contract,67708,29511,Yes,4,525609,DayScholar,9001,4.89,104087,Rural,yes,100
762002,1,Single Mother,Rent,83555,Business,Permanent,111462,80960,Yes,2,1023071,Hostel,13248,7.94,468503,Rural,no,100
142483,2,Single Mother,Own,85920,Govt Job,Self-employed,147735,48821,Yes,1,1239221,Hostel,33187,6.61,269051,Rural,no,100
658271,2,Both Alive,Own,45734,Agriculture,Contract,93076,65776,Yes,1,708093,Hostel,15608,1.08,255035,Urban,yes,100
984774,2,Both Alive,Own,88503,Foreign,Permanent,19053,70167,No,0,1187920,Hostel,36427,4.88,159186,Rural,yes,0
214835,4,Single Father,Rent,40603,Business,Temporary,142157,75135,No,4,1201408,DayScholar,31368,6.98,287153,Rural,no,50
401896,3,Single Father,Own,76708,Foreign,Contract,161636,44462,Yes,0,1696090,DayScholar,5283,5.3,346990,Rural,no,100
84896,4,Both Alive,Own,81926,Daily Wage,Permanent,89745,61382,Yes,0,633538,DayScholar,25854,3.92,312385,Urban,no,100
477095,1,Both Alive,Rent,68803,Govt Job,Contract,190167,90194,No,4,297906,Hostel,10715,6.22,166797,Rural,no,50
71295,4,Single Mother,Own,39332,Foreign,Permanent,69517,32574,No,2,1240634,DayScholar,16165,9.69,281140,Urban,yes,100
743974,1,Single Mother,Own,91703,Private Job,Permanent,152225,41910,No,1,1748268,Hostel,34108,0.95,399263,Rural,yes,50
887121,4,Single Father,Rent,21312,Govt Job,Temporary,136319,73531,Yes,2,1229748,DayScholar,26797,3.9,497769,Rural,yes,100
273255,3,Both Alive,Own,93376,Daily Wage,Contract,141625,25186,Yes,3,1194592,Hostel,47573,4.07,290911,Urban,yes,100
299648,1,Single Father,Rent,84526,Foreign,Self-employed,151883,94781,No,3,58825,DayScholar,10584,5.77,278491,Rural,yes,50
657162,2,Both Alive,Rent,44179,Business,Temporary,137207,22813,Yes,3,23877,DayScholar,14780,1.52,102063,Urban,no,100
8155,2,Single Mother,Rent,71442,Daily Wage,Temporary,136645,78812,Yes,4,433206,DayScholar,37905,1.77,24102,Rural,no,100
466872,4,Single Father,Rent,40379,Private Job,Permanent,79267,85525,Yes,0,139065,Hostel,21573,2.85,4263,Urban,yes,100
825816,2,Single Father,Rent,17297,Foreign,Self-employed,138261,78282,No,2,642731,Hostel,33359,9.56,370729,Rural,yes,50
374705,1,Both Alive,Own,2011,Unemployed,Contract,80077,18557,No,1,371756,Hostel,526,7.34,67438,Urban,yes,50
571542,2,Single Mother,Own,44014,Unemployed,Self-employed,174718,28060,Yes,3,127674,DayScholar,7855,6.62,96359,Urban,no,100
808350,3,Single Father,Rent,11738,Agriculture,Self-employed,76623,58866,Yes,2,1173650,Hostel,43463,8.17,423756,Rural,no,100
610269,3,Single Mother,Rent,94333,Govt Job,Self-employed,131004,72104,Yes,3,527257,Hostel,34060,1.28,130251,Urban,no,100
978217,4,Single Father,Own,47498,Business,Self-employed,53687,84577,Yes,3,406474,Hostel,29482,8.59,494087,Rural,yes,100
554594,1,Single Mother,Rent,11120,Agriculture,Self-employed,68312,6080,Yes,1,1310457,Hostel,16571,5.95,468942,Urban,yes,100
147718,3,Both Alive,Rent,8767,Foreign,Permanent,107615,13854,No,4,41629,Hostel,31740,3.35,456985,Rural,yes,50
308987,3,Single Father,Rent,22852,Unemployed,Permanent,130976,67695,Yes,0,965083,Hostel,19142,8.16,171915,Rural,yes,100
645263,1,Single Father,Own,79239,Unemployed,Temporary,27564,27025,Yes,4,1212606,DayScholar,25104,8.03,27690,Rural,yes,100
358745,2,Single Mother,Own,929,Unemployed,Permanent,28835,52982,Yes,2,1491257,DayScholar,8625,8.46,2994,Rural,no,100
107512,2,Single Mother,Rent,77487,Foreign,Temporary,192659,41081,No,4,812207,Hostel,39199,1.16,103533,Urban,yes,50
147443,4,Single Father,Rent,91575,Unemployed,Temporary,7697,4368,No,2,1528367,DayScholar,15926,9.69,67546,Rural,no,50
470587,2,Both Alive,Own,95040,Daily Wage,Contract,80165,99621,Yes,2,1546425,DayScholar,31218,9.6,400593,Rural,no,100
373616,1,Single Mother,Own,17438,Foreign,Self-employed,148118,27094,No,0,699567,Hostel,44472,3.57,340716,Rural,no,50
657409,3,Single Mother,Rent,48515,Business,Permanent,57823,46040,No,1,1474345,Hostel,26380,0.66,26467,Rural,no,0
686976,2,Single Mother,Rent,5744,Agriculture,Contract,184442,66766,No,0,1037442,DayScholar,20566,1.67,246590,Rural,no,50
365871,4,Single Father,Own,83820,Business,Permanent,9615,83053,No,4,272199,Hostel,33205,9.93,131120,Urban,yes,50
375037,2,Single Father,Own,42417,Private Job,Temporary,136132,23991,No,2,783372,DayScholar,43548,5.63,168050,Rural,yes,50
807364,1,Single Father,Own,7069,Unemployed,Permanent,130499,1301,No,3,1147273,DayScholar,29717,3.57,309750,Urban,yes,50
117796,4,Single Father,Rent,42359,Private Job,Self-employed,76436,28610,Yes,3,698233,DayScholar,49984,2.88,474790,Urban,no,100
291999,2,Both Alive,Own,19799,Govt Job,Temporary,191591,81463,No,2,1160081,Hostel,41756,2.57,360256,Rural,no,50
192506,4,Both Alive,Rent,98746,Govt Job,Temporary,120562,34678,No,0,1401440,DayScholar,25135,6.64,73414,Rural,no,50
990198,1,Single Father,Own,93762,Private Job,Contract,71117,24466,Yes,1,1780141,Hostel,28164,4.19,355289,Urban,no,100
698376,3,Both Alive,Own,70188,Foreign,Self-employed,192230,80440,Yes,0,1923207,Hostel,8953,9.65,180294,Urban,no,100
269544,1,Single Mother,Own,89859,Business,Temporary,34782,40875,Yes,2,1214966,Hostel,38562,6.84,48115,Urban,no,100
380002,1,Single Mother,Own,7597,Private Job,Self-employed,78533,26081,Yes,2,43734,Hostel,3574,7.92,351750,Rural,yes,100
698002,1,Single Mother,Rent,47093,Govt Job,Permanent,189327,24354,No,1,223299,Hostel,20169,2.93,40647,Urban,no,50
539439,1,Single Father,Rent,37226,Private Job,Self-employed,72684,93297,No,4,683882,DayScholar,21604,0.79,54607,Urban,no,0
968911,3,Single Mother,Own,72127,Foreign,Temporary,187990,18300,No,4,152728,Hostel,24134,4.88,450626,Rural,yes,50
590978,3,Both Alive,Rent,91369,Private Job,Contract,79558,64384,No,1,681253,Hostel,49069,3.15,21996,Urban,no,0
528787,4,Single Father,Own,77362,Business,Temporary,81422,95027,Yes,4,1563185,Hostel,23202,2.02,448137,Rural,yes,100
530583,2,Both Alive,Own,26417,Agriculture,Self-employed,156328,60892,No,3,812925,Hostel,684,9.53,83697,Urban,yes,50
907317,3,Single Mother,Own,18693,Foreign,Self-employed,161077,35525,No,4,406848,Hostel,37001,4.44,308166,Rural,yes,50
388215,3,Single Mother,Own,79674,Govt Job,Temporary,6638,26532,Yes,4,630160,DayScholar,49729,1.75,302292,Urban,no,100
321184,2,Single Mother,Rent,53161,Business,Self-employed,37419,6464,No,4,1016152,Hostel,45765,1.99,67764,Rural,yes,50
798615,3,Single Father,Own,2169,Private Job,Permanent,33377,16562,No,3,333923,Hostel,8007,2.81,354045,Rural,yes,0
422515,1,Both Alive,Own,84092,Private Job,Temporary,106244,55514,No,4,703812,DayScholar,49379,9.99,352868,Urban,no,50
668234,1,Single Father,Rent,22052,Agriculture,Contract,174188,74219,No,3,1727202,Hostel,35096,2.68,386910,Rural,yes,50
378480,2,Single Father,Own,71849,Govt Job,Temporary,167706,32634,Yes,1,1441907,DayScholar,41787,3.29,239190,Urban,no,100
32711,4,Single Mother,Own,73851,Govt Job,Permanent,23382,60,Yes,0,1175179,DayScholar,49582,6.59,8888,Rural,no,100
791971,4,Single Father,Own,8036,Daily Wage,Permanent,187135,9269,Yes,1,1906615,DayScholar,9255,2.94,219738,Rural,yes,100
501157,2,Single Father,Rent,31778,Govt Job,Permanent,153466,63143,Yes,0,1599804,DayScholar,32262,2.16,432375,Rural,no,100
184423,2,Single Mother,Own,27734,Agriculture,Permanent,67789,23065,Yes,1,1737939,Hostel,18093,1.59,435413,Rural,no,100
978771,1,Single Father,Rent,23173,Unemployed,Permanent,110634,2895,No,0,662168,Hostel,5782,3.13,477542,Rural,yes,50
516349,4,Single Mother,Own,30403,Daily Wage,Contract,131936,80859,No,0,632696,DayScholar,1234,1.06,221432,Rural,yes,50
703714,3,Single Mother,Own,66321,Daily Wage,Self-employed,99572,12352,Yes,2,831247,DayScholar,37973,0.19,361085,Rural,yes,100
912495,1,Single Mother,Rent,71675,Private Job,Permanent,171294,49737,Yes,0,1744805,Hostel,34188,8.05,417690,Urban,yes,100
657917,2,Single Mother,Own,6344,Private Job,Permanent,144738,96426,Yes,0,59297,DayScholar,31996,1.38,279477,Urban,no,100
824792,4,Single Father,Own,18800,Govt Job,Temporary,123664,32016,No,2,70107,DayScholar,29204,7.76,36355,Rural,yes,50
737378,3,Single Mother,Rent,25372,Daily Wage,Contract,152027,61304,Yes,4,354937,DayScholar,17152,7.98,230487,Rural,yes,100
133272,3,Single Mother,Rent,61516,Private Job,Contract,110674,11962,No,4,419898,Hostel,42364,5.38,129686,Rural,yes,50
767836,1,Single Father,Rent,20538,Agriculture,Self-employed,103533,33302,No,2,1602486,DayScholar,25019,3.1,467119,Urban,no,50
986001,4,Single Father,Rent,63918,Private Job,Contract,81845,85382,No,3,302552,Hostel,19488,1.45,459474,Rural,no,0
702335,4,Both Alive,Rent,14973,Foreign,Temporary,69590,4011,No,0,674197,Hostel,37123,7.37,162217,Urban,no,0
807789,2,Single Father,Own,71155,Foreign,Temporary,127775,19782,Yes,0,1205055,Hostel,19689,6.01,249602,Rural,no,100
643409,4,Single Father,Rent,59500,Private Job,Self-employed,66471,67691,No,2,1218957,DayScholar,28506,6.55,249434,Rural,no,0
77505,4,Both Alive,Own,36575,Daily Wage,Temporary,43298,39725,No,2,1151766,DayScholar,17715,0.09,365314,Rural,yes,100
2869,1,Single Father,Own,42261,Unemployed,Permanent,194180,9196,Yes,3,1470687,Hostel,41029,9.28,337819,Rural,no,100
781474,4,Single Father,Own,27716,Unemployed,Permanent,48924,43459,No,4,786644,Hostel,13765,0.66,180926,Rural,no,0
454351,3,Single Father,Rent,3236,Daily Wage,Temporary,147781,87245,No,1,1276560,Hostel,21942,3.67,67664,Urban,no,50
312252,1,Single Father,Rent,15848,Business,Self-employed,9726,78863,No,4,534658,DayScholar,38712,4.03,86153,Rural,yes,50
636584,1,Both Alive,Own,2352,Unemployed,Contract,191896,32769,Yes,0,1434932,DayScholar,39894,0.01,93616,Urban,yes,100
618467,2,Single Father,Rent,1932,Foreign,Self-employed,40542,24700,No,2,796918,Hostel,49632,4.97,297429,Urban,no,0
90272,4,Single Father,Rent,76449,Agriculture,Contract,151317,80356,No,3,1868770,Hostel,38031,7.53,256349,Rural,yes,100
38467,2,Both Alive,Rent,8556,Daily Wage,Temporary,34753,76427,Yes,4,560901,DayScholar,20478,8.23,410749,Rural,no,100
809760,3,Single Mother,Rent,86836,Govt Job,Temporary,79788,5269,Yes,3,1826740,Hostel,22551,8.79,425840,Rural,yes,100
