Annual_Income,Earning_Members,Parent_Type,House_Type,Parent_Occupation,Land_Owned_Acres,Children_Studying,Any_Disability,Urban_Rural,First_Generation_Learner,Rent_Amount,Job_Type,Loan_Burden,Medical_Expenditure,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Agriculture_Income,Reimbursement_%
672000,3,Single Parent,Own,Unemployed,0.06,1,No,Rural,Yes,0,None,50000,14932,103844,DayScholar,2693,0,79.46
684000,3,Both Alive,Rent,Agriculture,0.69,2,No,Urban,No,5547,Daily Income,100000,6873,69242,Hostel,0,161035,79.58
140000,3,Both Alive,Rent,Government Job,0.11,1,No,Urban,No,7162,Salaried,30000,10966,64142,DayScholar,3604,0,100.0
758000,2,Both Alive,Own,Government Job,0.12,3,No,Rural,No,0,Salaried,0,4966,139699,Hostel,0,0,61.19
172000,1,Both Alive,Own,Unemployed,2.83,2,No,Rural,Yes,0,None,10000,13911,126226,DayScholar,2634,0,78.21
61000,3,Single Parent,Own,Unemployed,2.06,2,No,Urban,Yes,0,None,0,10160,37393,DayScholar,1342,0,96.21
701000,2,Both Alive,Own,Private Job,0.6,3,No,Rural,Yes,0,Salaried,200000,6087,99939,DayScholar,2471,0,82.21
279000,1,Both Alive,Own,Business,4.25,3,No,Rural,Yes,0,Self Employed,50000,10794,99082,DayScholar,764,0,63.62
625000,1,Both Alive,Own,Private Job,0.0,3,No,Urban,No,0,Salaried,50000,11958,132281,Hostel,0,0,71.18
795000,1,Both Alive,Rent,Private Job,0.95,2,No,Rural,No,1832,Salaried,100000,2971,58893,Hostel,0,0,63.67
284000,1,Both Alive,Rent,Business,0.96,2,No,Rural,No,7174,Self Employed,50000,9843,39388,Hostel,0,0,93.78
444000,3,Both Alive,Own,Agriculture,0.61,2,No,Rural,Yes,0,Daily Income,100000,6675,148099,Hostel,0,97384,98.39
462000,3,Both Alive,Rent,Private Job,0.51,3,No,Rural,No,4491,Salaried,50000,8784,137292,Hostel,0,0,89.19
697000,2,Both Alive,Own,Private Job,0.61,3,No,Rural,No,0,Salaried,150000,11258,92969,DayScholar,1652,0,72.43
189000,2,Single Parent,Own,Government Job,0.54,0,No,Urban,No,0,Salaried,10000,1781,66660,DayScholar,1794,0,90.99
112000,2,Both Alive,Own,Business,1.31,1,Yes,Urban,Yes,0,Self Employed,10000,11592,119244,Hostel,0,0,100.0
743000,1,Both Alive,Rent,Daily Wage,0.15,0,No,Rural,Yes,6925,Daily Income,100000,14713,54726,DayScholar,965,0,74.8
789000,1,Both Alive,Rent,Agriculture,0.22,3,No,Rural,No,3575,Daily Income,100000,14031,109544,DayScholar,3481,172377,84.06
731000,3,Both Alive,Rent,Agriculture,0.2,2,No,Urban,Yes,4014,Daily Income,150000,11491,131553,DayScholar,1693,94543,91.08
769000,1,Both Alive,Own,Business,0.3,3,No,Rural,No,0,Self Employed,0,3677,92996,DayScholar,2675,0,58.73
475000,1,Both Alive,Rent,Unemployed,0.74,1,No,Rural,Yes,4529,None,0,6167,30111,Hostel,0,0,82.17
306000,1,Both Alive,Own,Unemployed,0.12,0,No,Urban,No,0,None,200000,5011,145370,DayScholar,2472,0,94.21
498000,2,Both Alive,Rent,Government Job,2.03,0,No,Urban,No,1600,Salaried,50000,11296,47545,DayScholar,1549,0,59.23
262000,2,Both Alive,Own,Government Job,0.35,2,No,Urban,No,0,Salaried,200000,4381,70168,Hostel,0,0,100.0
243000,3,Both Alive,Own,Business,0.18,0,No,Rural,Yes,0,Self Employed,0,2913,32379,Hostel,0,0,92.03
182000,1,Orphan,Rent,Government Job,1.13,0,No,Urban,No,4871,Salaried,30000,2044,125773,Hostel,0,0,100.0
460000,1,Both Alive,Rent,Agriculture,0.04,3,No,Rural,No,7301,Daily Income,50000,12222,141484,Hostel,0,47881,100.0
353000,3,Both Alive,Own,Agriculture,0.97,0,No,Rural,Yes,0,Daily Income,150000,11338,117346,DayScholar,3126,182249,98.98
339000,1,Both Alive,Rent,Daily Wage,1.2,0,No,Rural,No,1852,Daily Income,200000,5284,71120,DayScholar,1449,0,93.66
669000,1,Both Alive,Own,Unemployed,0.24,0,No,Urban,Yes,0,None,100000,6261,47809,Hostel,0,0,66.89
257000,2,Both Alive,Rent,Business,0.04,2,No,Rural,Yes,2518,Self Employed,150000,8374,82813,DayScholar,1549,0,100.0
570000,3,Both Alive,Rent,Private Job,0.45,2,No,Rural,Yes,2679,Salaried,200000,10750,104005,DayScholar,1606,0,97.4
203000,3,Orphan,Rent,Unemployed,0.1,3,No,Rural,No,6693,None,200000,7461,57967,Hostel,0,0,100.0
668000,3,Both Alive,Rent,Private Job,0.12,0,Yes,Rural,Yes,5036,Salaried,200000,6126,39748,Hostel,0,0,100.0
260000,3,Both Alive,Own,Daily Wage,0.29,2,No,Rural,No,0,Daily Income,100000,5014,53424,Hostel,0,0,97.75
183000,2,Both Alive,Own,Daily Wage,0.35,2,No,Rural,Yes,0,Daily Income,10000,1645,116512,Hostel,0,0,100.0
246000,2,Both Alive,Rent,Government Job,0.75,3,No,Urban,Yes,5319,Salaried,100000,9602,53914,Hostel,0,0,100.0
385000,1,Both Alive,Own,Daily Wage,1.13,1,No,Urban,No,0,Daily Income,50000,11998,125603,Hostel,0,0,70.4
523000,1,Both Alive,Own,Daily Wage,0.9,0,No,Urban,No,0,Daily Income,100000,5950,138411,DayScholar,3336,0,64.33
408000,1,Both Alive,Own,Private Job,0.16,2,No,Rural,No,0,Salaried,100000,2066,108478,DayScholar,2460,0,89.1
719000,1,Single Parent,Own,Government Job,0.19,3,No,Urban,Yes,0,Salaried,100000,11087,49491,Hostel,0,0,81.03
462000,2,Both Alive,Rent,Daily Wage,2.11,3,No,Urban,Yes,2871,Daily Income,150000,3505,79454,Hostel,0,0,83.78
405000,3,Both Alive,Own,Unemployed,0.82,3,No,Rural,No,0,None,100000,5007,100069,DayScholar,690,0,85.98
570000,2,Both Alive,Rent,Daily Wage,2.04,2,No,Urban,No,7397,Daily Income,50000,14035,81925,DayScholar,960,0,60.33
206000,1,Both Alive,Own,Government Job,0.46,0,No,Urban,Yes,0,Salaried,200000,4748,119119,DayScholar,3211,0,100.0
207000,2,Both Alive,Own,Business,0.95,1,No,Urban,Yes,0,Self Employed,150000,14023,67049,DayScholar,2419,0,97.93
770000,3,Both Alive,Own,Government Job,0.74,0,No,Rural,No,0,Salaried,0,8783,57821,Hostel,0,0,45.45
548000,3,Both Alive,Own,Private Job,0.38,3,No,Rural,Yes,0,Salaried,100000,4492,125797,Hostel,0,0,86.64
699000,2,Single Parent,Own,Business,0.63,3,No,Rural,No,0,Self Employed,200000,9022,133072,DayScholar,3976,0,84.05
610000,2,Both Alive,Rent,Unemployed,0.7,1,No,Rural,Yes,2472,None,200000,8527,59945,Hostel,0,0,89.33
397000,2,Both Alive,Own,Agriculture,0.22,0,No,Rural,Yes,0,Daily Income,150000,6260,47384,DayScholar,770,53062,100.0
700000,1,Single Parent,Rent,Government Job,0.38,3,No,Rural,No,2203,Salaried,0,9646,58410,DayScholar,1657,0,78.57
532000,2,Both Alive,Own,Private Job,1.57,3,No,Rural,Yes,0,Salaried,50000,12472,107734,DayScholar,670,0,72.36
210000,2,Both Alive,Own,Unemployed,2.47,0,No,Rural,Yes,0,None,200000,11293,93766,Hostel,0,0,88.13
474000,2,Both Alive,Rent,Business,0.45,3,No,Rural,No,2374,Self Employed,200000,8545,124890,DayScholar,527,0,100.0
357000,3,Both Alive,Own,Unemployed,0.37,0,No,Urban,Yes,0,None,200000,3477,146406,DayScholar,635,0,94.4
670000,3,Both Alive,Own,Government Job,0.22,3,No,Urban,Yes,0,Salaried,200000,5847,37169,Hostel,0,0,83.92
322000,1,Orphan,Own,Daily Wage,1.13,0,No,Urban,No,0,Daily Income,150000,4789,70129,Hostel,0,0,99.52
203000,1,Both Alive,Own,Government Job,0.39,1,No,Rural,Yes,0,Salaried,0,1029,127445,DayScholar,3524,0,95.7
405000,3,Both Alive,Rent,Agriculture,4.4,3,Yes,Rural,Yes,5053,Daily Income,200000,3392,33830,DayScholar,1387,195257,98.62
683000,3,Both Alive,Own,Government Job,0.39,1,No,Rural,Yes,0,Salaried,50000,9958,86306,DayScholar,2028,0,67.57
631000,3,Both Alive,Rent,Business,0.5,3,No,Urban,Yes,2059,Self Employed,50000,7943,116940,Hostel,0,0,79.99
61000,2,Both Alive,Rent,Business,0.92,3,No,Rural,No,1616,Self Employed,100000,10165,95267,DayScholar,1355,0,100.0
363000,2,Both Alive,Own,Government Job,1.62,2,No,Rural,No,0,Salaried,200000,5234,57757,DayScholar,2991,0,86.04
313000,3,Single Parent,Rent,Business,0.63,0,No,Rural,Yes,6563,Self Employed,200000,14398,93867,DayScholar,2981,0,100.0
711000,2,Both Alive,Own,Daily Wage,0.55,1,No,Rural,No,0,Daily Income,200000,10289,65650,DayScholar,1751,0,70.02
512000,2,Both Alive,Rent,Unemployed,5.43,1,No,Rural,No,7164,None,200000,3025,63766,DayScholar,1008,0,44.61
96000,1,Both Alive,Own,Government Job,0.01,1,No,Rural,Yes,0,Salaried,0,13485,111478,DayScholar,1826,0,100.0
219000,3,Both Alive,Rent,Daily Wage,2.25,0,No,Rural,No,2008,Daily Income,50000,4261,62419,Hostel,0,0,79.78
68000,3,Both Alive,Own,Unemployed,0.16,2,No,Rural,Yes,0,None,10000,6641,46668,DayScholar,1525,0,100.0
292000,2,Both Alive,Own,Unemployed,1.54,1,No,Urban,No,0,None,0,14489,46246,DayScholar,861,0,68.74
158000,3,Both Alive,Rent,Daily Wage,0.96,0,No,Urban,No,4939,Daily Income,100000,3242,54996,Hostel,0,0,96.15
718000,1,Both Alive,Rent,Private Job,0.42,3,No,Rural,Yes,5428,Salaried,50000,5135,81312,DayScholar,1105,0,78.94
267000,1,Both Alive,Own,Government Job,2.07,1,No,Urban,Yes,0,Salaried,200000,4925,33065,DayScholar,2363,0,87.15
190000,1,Both Alive,Own,Unemployed,0.01,1,No,Rural,Yes,0,None,10000,9161,40467,Hostel,0,0,100.0
463000,3,Single Parent,Rent,Unemployed,0.26,2,No,Urban,Yes,7475,None,150000,4330,80646,Hostel,0,0,100.0
211000,3,Both Alive,Rent,Business,0.84,1,No,Rural,Yes,2416,Self Employed,150000,7492,140380,DayScholar,1215,0,100.0
113000,3,Both Alive,Rent,Unemployed,0.43,1,No,Rural,No,4445,None,10000,1033,51007,Hostel,0,0,100.0
179000,3,Both Alive,Rent,Daily Wage,0.94,3,No,Urban,Yes,2298,Daily Income,0,14750,98079,DayScholar,2694,0,100.0
732000,3,Orphan,Rent,Unemployed,0.02,0,No,Rural,Yes,6471,None,200000,5062,58702,Hostel,0,0,100.0
687000,1,Single Parent,Rent,Private Job,0.12,0,No,Rural,No,3260,Salaried,100000,7620,124369,DayScholar,847,0,80.83
646000,2,Both Alive,Own,Government Job,0.14,2,No,Rural,Yes,0,Salaried,100000,12747,105569,Hostel,0,0,79.38
684000,1,Single Parent,Own,Government Job,0.21,3,No,Urban,No,0,Salaried,100000,7063,83952,Hostel,0,0,77.17
479000,3,Both Alive,Rent,Unemployed,0.61,0,No,Rural,No,2318,None,150000,12371,88065,DayScholar,1857,0,86.0
481000,1,Both Alive,Rent,Agriculture,1.39,3,No,Urban,Yes,3668,Daily Income,200000,7789,64169,DayScholar,1699,183029,100.0
163000,3,Both Alive,Own,Agriculture,2.36,0,No,Rural,Yes,0,Daily Income,50000,4587,46829,Hostel,0,163944,80.47
313000,3,Both Alive,Own,Daily Wage,1.8,3,No,Rural,Yes,0,Daily Income,100000,9453,90135,Hostel,0,0,88.75
286000,1,Both Alive,Rent,Agriculture,0.22,2,No,Rural,No,4565,Daily Income,200000,13793,34522,DayScholar,2945,67719,100.0
171000,3,Single Parent,Own,Daily Wage,0.58,1,Yes,Rural,Yes,0,Daily Income,10000,9582,115687,DayScholar,2678,0,100.0
569000,2,Both Alive,Own,Business,0.22,2,No,Rural,No,0,Self Employed,0,2855,65319,DayScholar,2085,0,69.86
532000,3,Both Alive,Own,Daily Wage,0.31,0,No,Urban,No,0,Daily Income,0,2455,56543,DayScholar,3152,0,61.47
158000,2,Both Alive,Own,Agriculture,0.7,2,No,Rural,Yes,0,Daily Income,50000,3471,148576,DayScholar,3439,70478,100.0
212000,2,Both Alive,Own,Unemployed,0.07,1,No,Urban,No,0,None,150000,13741,133120,DayScholar,1321,0,100.0
397000,3,Both Alive,Own,Business,0.25,2,No,Rural,Yes,0,Self Employed,50000,6039,147419,DayScholar,1401,0,91.02
765000,1,Both Alive,Own,Agriculture,2.74,0,No,Rural,No,0,Daily Income,200000,7993,60473,DayScholar,1444,31584,42.45
222000,2,Both Alive,Rent,Daily Wage,0.63,0,No,Rural,Yes,5027,Daily Income,150000,2172,37699,Hostel,0,0,100.0
779000,1,Single Parent,Own,Private Job,0.59,2,No,Rural,No,0,Salaried,100000,3336,98165,Hostel,0,0,68.19
740000,2,Both Alive,Rent,Government Job,0.01,1,No,Rural,Yes,3311,Salaried,150000,5427,70455,Hostel,0,0,83.3
220000,3,Both Alive,Rent,Agriculture,0.28,2,No,Rural,No,5411,Daily Income,100000,5439,105692,Hostel,0,55706,100.0
639000,3,Both Alive,Own,Daily Wage,2.01,1,No,Rural,Yes,0,Daily Income,0,4144,47441,Hostel,0,0,51.05
457000,2,Both Alive,Rent,Business,0.18,3,No,Urban,Yes,4642,Self Employed,0,2797,60716,DayScholar,2752,0,90.73
336000,3,Both Alive,Own,Agriculture,0.54,1,Yes,Rural,Yes,0,Daily Income,150000,4561,92175,DayScholar,3503,185215,100.0
563000,2,Both Alive,Rent,Agriculture,0.01,3,No,Rural,Yes,6749,Daily Income,50000,3666,36834,DayScholar,854,175312,100.0
451000,3,Single Parent,Own,Government Job,0.65,2,No,Rural,No,0,Salaried,200000,10011,48179,Hostel,0,0,97.44
194000,1,Both Alive,Rent,Daily Wage,0.02,1,No,Rural,No,6115,Daily Income,50000,683,56219,Hostel,0,0,100.0
254000,3,Orphan,Rent,Private Job,1.71,3,No,Rural,Yes,2536,Salaried,200000,9975,133153,DayScholar,1323,0,100.0
460000,1,Single Parent,Own,Business,1.74,3,No,Urban,Yes,0,Self Employed,0,3346,45782,Hostel,0,0,75.6
699000,3,Both Alive,Own,Daily Wage,1.55,3,No,Rural,Yes,0,Daily Income,50000,14478,111363,DayScholar,2396,0,61.39
92000,1,Single Parent,Rent,Business,0.33,0,No,Rural,Yes,2302,Self Employed,100000,10925,104967,DayScholar,3488,0,100.0
747000,3,Both Alive,Rent,Agriculture,1.82,2,No,Urban,Yes,4082,Daily Income,200000,12780,132454,Hostel,0,74909,68.46
519000,1,Single Parent,Own,Government Job,0.78,3,No,Urban,Yes,0,Salaried,0,10124,139593,Hostel,0,0,80.84
529000,2,Both Alive,Rent,Government Job,0.47,1,No,Rural,Yes,5337,Salaried,200000,11832,39496,DayScholar,1035,0,96.95
434000,2,Single Parent,Own,Unemployed,0.98,3,No,Urban,Yes,0,None,150000,10488,118867,DayScholar,2448,0,96.47
81000,1,Single Parent,Rent,Private Job,0.01,0,No,Urban,No,3165,Salaried,50000,5222,69238,DayScholar,3510,0,100.0
729000,3,Single Parent,Own,Government Job,0.15,2,No,Urban,Yes,0,Salaried,50000,10747,76025,DayScholar,3127,0,73.79
97000,1,Both Alive,Rent,Agriculture,1.36,0,No,Urban,Yes,1959,Daily Income,50000,12028,89886,Hostel,0,111837,100.0
289000,3,Both Alive,Own,Private Job,0.28,0,No,Rural,No,0,Salaried,0,1282,53563,DayScholar,2119,0,82.0
424000,2,Both Alive,Own,Daily Wage,0.91,0,No,Rural,No,0,Daily Income,50000,2007,33712,Hostel,0,0,70.9
622000,3,Both Alive,Own,Government Job,0.49,1,No,Urban,Yes,0,Salaried,100000,14572,124067,Hostel,0,0,70.64
497000,2,Both Alive,Own,Private Job,1.93,2,No,Urban,No,0,Salaried,100000,13562,75489,DayScholar,3620,0,62.21
342000,3,Both Alive,Own,Agriculture,3.05,2,No,Urban,No,0,Daily Income,0,6355,62664,DayScholar,1043,194787,53.95
86000,3,Both Alive,Own,Unemployed,2.15,1,No,Rural,Yes,0,None,0,14651,140799,Hostel,0,0,86.67
285000,3,Single Parent,Rent,Business,0.32,2,Yes,Urban,Yes,4398,Self Employed,200000,13794,42420,Hostel,0,0,100.0
336000,1,Both Alive,Own,Business,0.22,0,No,Rural,Yes,0,Self Employed,0,8038,84610,Hostel,0,0,85.44
668000,1,Single Parent,Own,Agriculture,0.64,2,No,Rural,Yes,0,Daily Income,200000,12546,35315,Hostel,0,55242,99.03
343000,2,Both Alive,Own,Agriculture,0.01,1,No,Urban,Yes,0,Daily Income,0,1176,100917,Hostel,0,152001,95.98
540000,2,Single Parent,Own,Business,0.03,0,No,Urban,No,0,Self Employed,100000,7750,105033,DayScholar,2746,0,79.52
512000,1,Single Parent,Own,Unemployed,0.81,1,No,Urban,Yes,0,None,150000,10522,124576,DayScholar,2336,0,86.88
718000,2,Both Alive,Own,Private Job,0.73,3,No,Rural,Yes,0,Salaried,100000,8313,147862,DayScholar,576,0,71.92
575000,1,Both Alive,Own,Business,5.22,0,No,Rural,Yes,0,Self Employed,150000,4590,127911,DayScholar,868,0,33.46
606000,3,Both Alive,Own,Agriculture,0.23,0,No,Urban,Yes,0,Daily Income,200000,12998,109030,DayScholar,3380,124134,89.1
251000,2,Both Alive,Own,Government Job,0.3,2,No,Rural,No,0,Salaried,0,14124,93910,DayScholar,1025,0,90.35
108000,2,Both Alive,Rent,Daily Wage,0.12,0,No,Urban,Yes,7198,Daily Income,0,6223,127288,DayScholar,848,0,100.0
571000,1,Both Alive,Own,Unemployed,2.5,1,No,Rural,No,0,None,50000,10052,90972,Hostel,0,0,48.86
76000,2,Both Alive,Own,Unemployed,1.5,2,No,Rural,Yes,0,None,30000,13277,120893,DayScholar,1142,0,98.93
231000,2,Both Alive,Rent,Government Job,1.73,3,Yes,Rural,Yes,2131,Salaried,150000,14214,85919,DayScholar,737,0,100.0
279000,3,Both Alive,Own,Government Job,2.33,1,No,Rural,No,0,Salaried,100000,3186,112486,DayScholar,1803,0,73.95
217000,2,Both Alive,Rent,Agriculture,0.74,3,No,Rural,Yes,3956,Daily Income,50000,8882,111288,DayScholar,2100,109791,100.0
536000,3,Both Alive,Own,Business,0.6,3,No,Rural,Yes,0,Self Employed,100000,9534,132926,DayScholar,1955,0,85.33
105000,1,Single Parent,Rent,Private Job,0.4,3,No,Rural,No,6923,Salaried,100000,9026,34132,DayScholar,2685,0,100.0
432000,2,Both Alive,Rent,Unemployed,0.89,0,No,Rural,Yes,7554,None,50000,8189,71598,Hostel,0,0,84.56
577000,3,Single Parent,Own,Unemployed,0.61,1,No,Urban,No,0,None,200000,14430,123812,DayScholar,3772,0,82.4
158000,1,Both Alive,Rent,Government Job,0.6,1,No,Urban,No,5817,Salaried,50000,1610,135299,Hostel,0,0,98.65
96000,2,Both Alive,Own,Business,2.76,0,No,Rural,Yes,0,Self Employed,30000,1078,50551,Hostel,0,0,79.54
339000,1,Both Alive,Own,Unemployed,4.14,2,No,Rural,Yes,0,None,150000,561,122511,Hostel,0,0,65.57
408000,2,Both Alive,Rent,Private Job,1.59,3,No,Rural,Yes,5943,Salaried,50000,886,98206,DayScholar,3227,0,88.46
556000,1,Both Alive,Rent,Government Job,1.41,1,No,Rural,Yes,6778,Salaried,100000,9861,104900,Hostel,0,0,78.24
361000,1,Both Alive,Own,Private Job,1.14,0,No,Rural,No,0,Salaried,150000,2700,56296,DayScholar,2354,0,80.81
240000,3,Both Alive,Own,Business,0.18,3,No,Rural,No,0,Self Employed,0,13406,120216,Hostel,0,0,95.24
666000,1,Both Alive,Own,Unemployed,0.06,2,No,Rural,Yes,0,None,50000,2183,48066,DayScholar,3485,0,74.86
158000,2,Both Alive,Own,Daily Wage,1.17,2,No,Rural,Yes,0,Daily Income,10000,14665,58892,DayScholar,854,0,95.03
759000,2,Both Alive,Rent,Unemployed,1.3,3,No,Rural,Yes,1904,None,0,6821,105577,Hostel,0,0,63.82
175000,3,Both Alive,Own,Business,0.05,2,No,Urban,Yes,0,Self Employed,50000,8556,104590,Hostel,0,0,100.0
250000,2,Both Alive,Own,Unemployed,2.63,1,No,Rural,No,0,None,50000,9178,107173,DayScholar,3900,0,69.07
312000,2,Both Alive,Own,Unemployed,0.1,1,No,Rural,Yes,0,None,50000,12424,106293,DayScholar,1058,0,95.14
220000,2,Both Alive,Own,Agriculture,0.34,1,No,Rural,No,0,Daily Income,0,7914,94771,DayScholar,3396,36119,99.04
315000,1,Orphan,Own,Unemployed,1.12,2,No,Urban,No,0,None,50000,14065,136794,Hostel,0,0,98.18
382000,1,Both Alive,Rent,Unemployed,0.19,1,No,Urban,No,4618,None,150000,7143,57484,DayScholar,1754,0,95.5
187000,2,Both Alive,Rent,Private Job,0.06,0,No,Rural,Yes,3094,Salaried,50000,9232,107865,DayScholar,3879,0,100.0
77000,3,Orphan,Rent,Daily Wage,0.4,1,No,Rural,No,2065,Daily Income,100000,6131,129074,Hostel,0,0,100.0
794000,1,Both Alive,Own,Private Job,1.45,1,No,Rural,No,0,Salaried,0,8445,57115,DayScholar,1669,0,40.05
625000,3,Both Alive,Rent,Private Job,0.53,2,Yes,Rural,No,4368,Salaried,0,10752,56038,Hostel,0,0,96.15
629000,2,Both Alive,Rent,Government Job,1.06,1,No,Rural,Yes,2357,Salaried,200000,8226,66622,DayScholar,2314,0,84.62
382000,2,Both Alive,Rent,Agriculture,0.87,3,No,Rural,Yes,2784,Daily Income,150000,12938,65886,DayScholar,2687,132620,100.0
745000,1,Both Alive,Own,Private Job,0.02,0,No,Urban,No,0,Salaried,100000,5669,81284,Hostel,0,0,57.92
685000,2,Both Alive,Own,Business,4.47,2,No,Rural,Yes,0,Self Employed,100000,9930,39901,Hostel,0,0,35.33
347000,1,Both Alive,Own,Business,0.04,0,No,Rural,Yes,0,Self Employed,200000,9682,86377,Hostel,0,0,100.0
722000,2,Both Alive,Own,Unemployed,3.44,3,No,Urban,No,0,None,150000,7287,112910,DayScholar,2611,0,39.67
698000,2,Orphan,Own,Government Job,0.8,2,No,Rural,Yes,0,Salaried,50000,4967,79862,DayScholar,1741,0,85.64
214000,1,Single Parent,Own,Agriculture,3.3,2,No,Rural,Yes,0,Daily Income,200000,5732,148992,DayScholar,3643,150112,93.92
549000,1,Both Alive,Own,Agriculture,0.12,1,No,Rural,Yes,0,Daily Income,100000,10991,141826,DayScholar,3537,58250,93.06
445000,1,Both Alive,Rent,Unemployed,0.67,0,No,Rural,No,2040,None,150000,8630,62806,Hostel,0,0,87.7
163000,2,Both Alive,Own,Business,0.19,3,No,Rural,Yes,0,Self Employed,30000,6696,47659,DayScholar,629,0,100.0
452000,2,Both Alive,Own,Daily Wage,0.05,3,Yes,Urban,No,0,Daily Income,150000,13941,144306,DayScholar,3128,0,100.0
305000,3,Both Alive,Rent,Government Job,0.96,2,No,Rural,Yes,2915,Salaried,150000,4407,53453,DayScholar,2450,0,100.0
235000,1,Both Alive,Rent,Unemployed,0.23,1,No,Rural,Yes,4338,None,100000,4788,60498,Hostel,0,0,100.0
98000,2,Single Parent,Rent,Government Job,0.89,2,No,Rural,No,3152,Salaried,100000,7234,100393,Hostel,0,0,100.0
536000,2,Both Alive,Rent,Business,0.12,2,Yes,Rural,Yes,4165,Self Employed,50000,1580,46312,DayScholar,1079,0,100.0
741000,1,Both Alive,Own,Business,0.4,2,No,Urban,No,0,Self Employed,50000,6740,31436,DayScholar,1977,0,56.59
597000,3,Both Alive,Rent,Daily Wage,1.52,2,No,Urban,Yes,5562,Daily Income,200000,697,57569,Hostel,0,0,81.35
467000,1,Both Alive,Own,Daily Wage,0.57,3,No,Rural,Yes,0,Daily Income,0,8314,88813,DayScholar,3552,0,82.33
584000,3,Single Parent,Own,Agriculture,0.99,3,No,Urban,Yes,0,Daily Income,50000,10886,146787,DayScholar,3955,114769,88.44
565000,2,Both Alive,Own,Government Job,1.04,2,No,Rural,Yes,0,Salaried,100000,8351,120485,Hostel,0,0,76.18
95000,3,Both Alive,Own,Government Job,1.86,2,No,Rural,No,0,Salaried,100000,10290,103229,DayScholar,3168,0,93.75
744000,2,Both Alive,Own,Business,0.39,1,No,Rural,No,0,Self Employed,200000,2100,75986,DayScholar,1339,0,69.34
79000,1,Both Alive,Rent,Agriculture,1.16,2,No,Urban,Yes,3051,Daily Income,0,7962,132555,Hostel,0,73076,100.0
380000,1,Both Alive,Rent,Unemployed,3.26,3,No,Rural,Yes,6892,None,150000,7366,83177,DayScholar,1664,0,82.25
571000,1,Both Alive,Rent,Government Job,1.31,0,No,Rural,No,3707,Salaried,150000,4192,39305,DayScholar,3124,0,73.15
459000,3,Both Alive,Own,Agriculture,0.67,3,No,Urban,Yes,0,Daily Income,50000,12557,62646,DayScholar,1657,65833,91.86
713000,2,Both Alive,Rent,Agriculture,1.0,1,No,Urban,Yes,5819,Daily Income,0,9375,122838,Hostel,0,24318,69.77
530000,1,Both Alive,Rent,Business,1.35,3,No,Urban,No,2779,Self Employed,0,3583,106126,Hostel,0,0,68.65
202000,1,Both Alive,Own,Agriculture,0.95,0,No,Rural,No,0,Daily Income,200000,4489,147922,DayScholar,1166,119992,100.0
151000,2,Both Alive,Rent,Daily Wage,0.02,2,No,Urban,No,7663,Daily Income,10000,832,70430,Hostel,0,0,100.0
413000,1,Both Alive,Own,Daily Wage,0.22,0,No,Rural,No,0,Daily Income,200000,14031,98659,DayScholar,2471,0,90.1
786000,2,Both Alive,Own,Private Job,1.66,2,No,Rural,No,0,Salaried,100000,14209,145341,Hostel,0,0,49.48
110000,2,Single Parent,Rent,Business,0.32,2,No,Rural,Yes,5194,Self Employed,10000,14153,34158,Hostel,0,0,100.0
724000,2,Single Parent,Own,Unemployed,1.32,3,No,Urban,Yes,0,None,150000,14609,104236,DayScholar,749,0,73.83
757000,2,Single Parent,Own,Private Job,0.47,3,No,Rural,Yes,0,Salaried,200000,14279,106067,DayScholar,1388,0,87.71
634000,2,Both Alive,Rent,Daily Wage,0.74,3,No,Urban,No,7701,Daily Income,0,10463,57738,DayScholar,1523,0,67.54
249000,3,Both Alive,Rent,Private Job,0.07,1,No,Rural,No,4664,Salaried,200000,6606,39879,Hostel,0,0,100.0
184000,1,Both Alive,Own,Business,0.2,3,No,Rural,No,0,Self Employed,10000,7833,35543,DayScholar,1252,0,99.58
209000,3,Both Alive,Own,Business,3.15,1,No,Rural,No,0,Self Employed,0,7155,142284,Hostel,0,0,62.88
373000,1,Single Parent,Own,Agriculture,2.21,3,No,Rural,No,0,Daily Income,0,5808,77924,DayScholar,3522,48273,74.91
629000,3,Both Alive,Rent,Government Job,1.06,2,No,Urban,No,4935,Salaried,50000,13931,72348,DayScholar,3030,0,65.76
401000,2,Both Alive,Own,Agriculture,0.62,1,No,Rural,Yes,0,Daily Income,150000,4700,114117,Hostel,0,49473,100.0
364000,1,Both Alive,Own,Business,1.13,0,No,Rural,No,0,Self Employed,50000,3221,66679,DayScholar,2719,0,72.81
751000,1,Both Alive,Rent,Daily Wage,0.96,1,No,Urban,Yes,3921,Daily Income,50000,9498,109118,Hostel,0,0,61.57
741000,3,Both Alive,Own,Unemployed,0.84,1,No,Rural,Yes,0,None,0,1564,73888,DayScholar,2564,0,55.43
113000,3,Both Alive,Own,Daily Wage,0.06,0,No,Rural,No,0,Daily Income,0,9580,60276,DayScholar,2258,0,95.87
503000,1,Both Alive,Own,Agriculture,1.0,1,No,Rural,No,0,Daily Income,150000,11615,133539,DayScholar,1817,65310,85.66
672000,3,Both Alive,Rent,Unemployed,1.46,2,No,Rural,Yes,3561,None,200000,7320,34799,DayScholar,2941,0,80.92
323000,3,Both Alive,Own,Business,5.13,3,No,Rural,Yes,0,Self Employed,50000,9012,120627,Hostel,0,0,52.26
