Annual_Income,Earning_Members,Parent_Type,House_Type,Rent_Amount,Parent_Occupation,Job_Type,Loan_Burden,Medical_Expenditure,Disability_Family,No_of_Children_Studying,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Land_Owned_Acres,Agriculture_Income,Urban_Rural,First_Generation_Learner
756630,4,Single Mother,Rent,9799,Private Job,Self-employed,0,13351,1,1,103503,Hostel,0,4.41,0,Urban,no
662548,2,Single Mother,Own,0,Private Job,Contract,145202,38427,0,4,96497,DayScholar,1141,4.97,0,Rural,no
211873,2,Single Mother,Own,0,Agriculture,Contract,184202,28322,0,4,75344,DayScholar,2127,2.38,42068,Urban,no
766345,3,Both Alive,Rent,9387,Foreign,Contract,26743,30523,0,3,71822,Hostel,0,0.16,0,Rural,no
933110,4,Single Mother,Own,0,Foreign,Self-employed,0,40529,0,3,108036,Hostel,0,4.47,0,Urban,yes
644536,4,Single Father,Own,0,Foreign,Self-employed,49824,45563,1,3,103768,DayScholar,896,2.21,0,Rural,yes
427329,4,Both Alive,Rent,4262,Business,Contract,0,43367,0,3,39385,DayScholar,4744,2.4,0,Rural,no
776864,3,Both Alive,Own,0,Private Job,Contract,148511,12991,0,4,122160,DayScholar,2763,1.72,0,Urban,yes
912321,3,Both Alive,Own,0,Private Job,Self-employed,0,45650,0,4,146441,DayScholar,2730,0.75,0,Rural,no
199877,3,Single Father,Rent,2413,Daily Wage,Self-employed,0,49881,1,2,51118,Hostel,0,4.22,0,Rural,yes
817463,3,Both Alive,Rent,4297,Private Job,Contract,0,10823,1,1,118044,Hostel,0,1.55,0,Rural,yes
59670,2,Single Father,Rent,9340,Business,Permanent,15296,26480,1,1,116576,DayScholar,1467,0.47,0,Urban,yes
755188,1,Both Alive,Own,0,Business,Permanent,189790,2977,0,4,126865,DayScholar,1413,3.15,0,Urban,yes
769251,4,Single Mother,Own,0,Agriculture,Permanent,90932,20295,1,1,143117,DayScholar,3883,2.64,94918,Rural,no
105749,3,Single Mother,Rent,4887,Daily Wage,Contract,74895,20192,0,2,85073,Hostel,0,3.79,0,Urban,no
111510,4,Both Alive,Own,0,Other,Contract,31665,41639,0,4,84835,Hostel,0,3.99,0,Urban,yes
152254,1,Both Alive,Own,0,Foreign,Self-employed,0,14471,0,4,63707,DayScholar,2896,1.15,0,Rural,yes
775727,1,Single Mother,Own,0,Foreign,Permanent,0,27323,0,1,134824,Hostel,0,3.09,0,Rural,no
65399,3,Both Alive,Rent,9707,Private Job,Permanent,116068,18870,1,1,113996,DayScholar,4126,4.17,0,Rural,yes
155440,3,Single Father,Own,0,Foreign,Contract,131951,6886,1,1,78941,DayScholar,1644,0.49,0,Rural,yes
464468,1,Single Mother,Rent,6928,Agriculture,Contract,133746,26127,0,4,12981,DayScholar,1612,0.8,45047,Rural,no
923113,1,Single Father,Rent,9147,Other,Contract,0,34649,1,3,101346,Hostel,0,0.98,0,Rural,yes
898526,3,Both Alive,Rent,6723,Business,Permanent,29085,19120,0,3,29532,Hostel,0,4.73,0,Urban,yes
306909,3,Single Father,Own,0,Daily Wage,Self-employed,0,22069,0,2,101290,DayScholar,4025,4.9,0,Urban,no
766863,2,Single Father,Own,0,Daily Wage,Self-employed,89539,39706,0,3,139014,Hostel,0,1.96,0,Urban,yes
442860,4,Single Father,Rent,9805,Foreign,Self-employed,12657,31119,1,4,127325,DayScholar,1367,1.46,0,Rural,yes
817249,3,Single Mother,Own,0,Daily Wage,Contract,63817,37133,0,2,53619,Hostel,0,4.73,0,Rural,no
416808,2,Single Father,Rent,3915,Business,Contract,0,17435,0,1,139416,DayScholar,3757,4.72,0,Rural,yes
856274,1,Both Alive,Own,0,Private Job,Contract,29534,30263,1,3,28998,Hostel,0,4.21,0,Rural,no
469998,3,Single Father,Own,0,Daily Wage,Contract,0,30908,0,1,53813,DayScholar,4980,4.67,0,Urban,yes
709294,2,Single Father,Own,0,Business,Contract,0,16602,0,2,110513,DayScholar,2176,3.74,0,Urban,yes
511697,1,Both Alive,Rent,6380,Govt Job,Contract,0,28132,1,3,45755,DayScholar,2169,0.66,0,Rural,no
426827,1,Both Alive,Rent,2743,Private Job,Permanent,0,26771,1,1,126552,Hostel,0,3.81,0,Rural,yes
919286,2,Single Mother,Own,0,Govt Job,Contract,0,10641,1,4,117597,DayScholar,1350,3.33,0,Rural,yes
290511,1,Single Father,Own,0,Foreign,Contract,0,40269,0,2,111428,Hostel,0,4.38,0,Rural,yes
285084,1,Both Alive,Rent,5286,Foreign,Contract,0,26832,0,4,127318,Hostel,0,0.91,0,Urban,yes
618868,1,Both Alive,Own,0,Daily Wage,Self-employed,0,17849,1,2,69710,Hostel,0,3.19,0,Urban,no
71285,2,Both Alive,Rent,8548,Govt Job,Contract,174953,3796,1,4,11822,Hostel,0,0.23,0,Urban,yes
730882,3,Both Alive,Rent,2163,Agriculture,Contract,47904,15573,1,2,128821,Hostel,0,2.3,6538,Urban,no
798246,4,Single Father,Rent,8467,Private Job,Self-employed,188586,38586,0,1,26195,Hostel,0,2.79,0,Rural,no
111796,4,Both Alive,Own,0,Other,Self-employed,143191,49325,1,1,105677,Hostel,0,2,0,Urban,yes
810650,4,Single Father,Rent,8716,Private Job,Self-employed,24844,8437,0,4,75361,DayScholar,4060,2.86,0,Rural,yes
122312,2,Both Alive,Own,0,Foreign,Permanent,0,49377,1,4,141064,Hostel,0,3.9,0,Urban,no
626962,1,Single Father,Rent,5961,Govt Job,Permanent,0,45287,1,4,148067,Hostel,0,3.19,0,Rural,yes
910620,4,Both Alive,Own,0,Private Job,Contract,114874,42334,1,1,11671,DayScholar,573,1.99,0,Urban,no
456514,4,Single Father,Own,0,Business,Self-employed,173046,8425,1,3,54359,DayScholar,4289,2.8,0,Urban,yes
382768,4,Single Mother,Own,0,Foreign,Self-employed,18017,9987,0,1,76407,DayScholar,2106,2.82,0,Urban,no
60674,1,Both Alive,Own,0,Other,Self-employed,0,25745,1,4,24679,DayScholar,4238,2.7,0,Urban,no
843115,1,Both Alive,Own,0,Govt Job,Permanent,137209,16712,1,2,13843,DayScholar,4073,4.74,0,Rural,no
326298,4,Both Alive,Rent,2827,Business,Permanent,161703,16239,1,1,58012,Hostel,0,2.45,0,Rural,yes
314526,3,Single Mother,Rent,7825,Private Job,Contract,81787,34710,1,4,97564,Hostel,0,3.93,0,Rural,yes
987915,3,Single Father,Rent,4136,Business,Contract,163658,29983,1,4,114220,Hostel,0,1.54,0,Urban,yes
374940,1,Both Alive,Rent,3236,Private Job,Permanent,64328,23305,1,1,65150,DayScholar,1694,2,0,Rural,yes
896204,2,Both Alive,Rent,2840,Other,Self-employed,125129,49561,1,3,20528,DayScholar,4168,3.51,0,Rural,no
862678,4,Both Alive,Own,0,Business,Contract,153115,11442,0,3,128762,DayScholar,1153,0.19,0,Urban,yes
389841,4,Both Alive,Own,0,Govt Job,Permanent,0,17967,1,3,48631,Hostel,0,1.1,0,Urban,no
699066,2,Both Alive,Rent,6707,Business,Self-employed,0,44949,0,4,148663,Hostel,0,3.2,0,Urban,no
78069,4,Both Alive,Rent,9020,Other,Self-employed,108659,45313,1,1,47738,Hostel,0,3.57,0,Rural,yes
807925,3,Both Alive,Rent,3445,Daily Wage,Permanent,0,27021,1,4,91941,DayScholar,2272,2.4,0,Urban,no
491110,3,Single Father,Rent,2433,Govt Job,Self-employed,97214,39942,1,3,51590,DayScholar,3149,4.66,0,Urban,yes
385154,3,Both Alive,Rent,3239,Business,Contract,0,18521,0,1,136708,DayScholar,3003,4.38,0,Rural,yes
564826,3,Single Father,Own,0,Agriculture,Self-employed,0,5294,0,3,98456,Hostel,0,1.17,92876,Urban,no
61157,4,Both Alive,Own,0,Govt Job,Permanent,0,16955,1,2,35994,Hostel,0,4.47,0,Urban,yes
767520,1,Both Alive,Rent,8379,Govt Job,Permanent,44096,29121,1,2,47869,Hostel,0,1.43,0,Urban,no
778286,3,Single Mother,Rent,9990,Foreign,Permanent,0,3747,0,3,139939,DayScholar,1562,4.56,0,Urban,no
627954,2,Single Father,Rent,4083,Govt Job,Contract,30251,15749,0,1,40908,Hostel,0,4.29,0,Urban,yes
107681,1,Single Father,Own,0,Foreign,Self-employed,0,29523,0,3,112991,Hostel,0,3.54,0,Urban,no
65845,2,Single Father,Rent,3867,Other,Contract,188905,47286,1,2,48850,Hostel,0,1.91,0,Urban,yes
239126,1,Single Father,Rent,6517,Other,Permanent,0,35199,1,2,17133,DayScholar,2745,0.64,0,Rural,yes
216645,2,Single Mother,Own,0,Other,Permanent,123819,36988,1,1,62725,Hostel,0,0.36,0,Rural,yes
686931,4,Single Mother,Rent,7728,Daily Wage,Contract,0,31273,0,3,94180,Hostel,0,1.57,0,Urban,yes
800069,4,Single Father,Own,0,Foreign,Contract,0,29245,1,3,142819,DayScholar,3453,4.67,0,Urban,yes
301804,1,Both Alive,Own,0,Daily Wage,Permanent,0,12934,0,4,17475,Hostel,0,2.75,0,Rural,no
137750,2,Single Mother,Rent,8094,Other,Permanent,20514,11955,0,1,104665,Hostel,0,2.11,0,Rural,yes
805415,1,Single Father,Own,0,Private Job,Self-employed,0,25015,0,1,56203,Hostel,0,4.84,0,Rural,no
252515,3,Single Mother,Own,0,Business,Contract,0,22044,1,1,19662,DayScholar,4597,4.82,0,Urban,no
533837,4,Both Alive,Rent,3526,Agriculture,Self-employed,119260,7954,1,4,51604,DayScholar,2593,4.5,96637,Urban,yes
424489,4,Single Mother,Rent,6226,Daily Wage,Permanent,0,25027,0,2,69482,Hostel,0,1.1,0,Urban,yes
548549,3,Single Father,Rent,7116,Daily Wage,Permanent,144741,36240,0,3,56612,Hostel,0,4.09,0,Urban,no
221861,3,Both Alive,Own,0,Agriculture,Self-employed,0,20825,0,1,27627,DayScholar,2236,4.26,53906,Rural,no
121221,3,Both Alive,Own,0,Business,Contract,0,19194,0,3,107230,DayScholar,3201,1.61,0,Urban,yes
971359,1,Both Alive,Own,0,Private Job,Self-employed,60559,6878,0,3,38208,Hostel,0,4.84,0,Urban,no
174239,1,Both Alive,Rent,3710,Other,Self-employed,168659,10198,0,1,79223,Hostel,0,1.27,0,Urban,no
284037,2,Single Father,Rent,7352,Business,Self-employed,144790,10420,1,2,54661,DayScholar,1080,2.61,0,Urban,no
346966,4,Both Alive,Own,0,Agriculture,Self-employed,0,5889,1,1,112072,Hostel,0,0.39,39603,Rural,yes
295961,3,Single Mother,Own,0,Agriculture,Contract,0,1398,0,2,78144,Hostel,0,2.98,42929,Rural,yes
257098,2,Single Father,Rent,4481,Daily Wage,Self-employed,0,33984,0,1,107052,Hostel,0,0.01,0,Rural,yes
195674,1,Single Mother,Rent,2662,Business,Permanent,0,42881,1,3,42081,DayScholar,2789,3.55,0,Urban,no
344093,4,Both Alive,Rent,3404,Daily Wage,Contract,40544,27722,1,4,18394,DayScholar,3918,4.72,0,Urban,no
651820,2,Single Father,Own,0,Other,Self-employed,31639,33353,0,4,133439,Hostel,0,0.4,0,Urban,yes
550497,1,Both Alive,Rent,2418,Foreign,Self-employed,147611,10750,1,1,139673,Hostel,0,3.82,0,Urban,no
685797,1,Single Mother,Own,0,Agriculture,Permanent,0,4322,1,4,11833,DayScholar,3202,2.16,23744,Rural,yes
704459,4,Both Alive,Own,0,Private Job,Permanent,0,30555,0,3,58339,DayScholar,980,1.51,0,Urban,yes
785337,2,Single Mother,Rent,5969,Other,Self-employed,0,14655,0,3,138690,DayScholar,3024,1.87,0,Urban,yes
590161,1,Single Mother,Own,0,Business,Permanent,144423,2985,0,3,127209,Hostel,0,4.26,0,Rural,no
880619,2,Both Alive,Own,0,Other,Permanent,135188,26769,0,2,72968,Hostel,0,4.61,0,Urban,no
407925,2,Single Father,Own,0,Private Job,Permanent,27239,27454,0,2,124373,Hostel,0,4.26,0,Rural,yes
206044,3,Both Alive,Own,0,Foreign,Contract,0,15710,1,1,40052,Hostel,0,2.09,0,Rural,no
117594,3,Single Mother,Rent,7724,Agriculture,Permanent,192621,1327,1,4,91802,Hostel,0,2.38,65825,Urban,no
122269,3,Both Alive,Own,0,Private Job,Self-employed,184224,36127,1,1,26052,DayScholar,2238,4.07,0,Urban,yes
964685,1,Single Mother,Rent,2808,Business,Contract,145137,27995,0,4,14896,DayScholar,4815,0.05,0,Urban,no
443057,3,Both Alive,Rent,3879,Daily Wage,Self-employed,56201,46985,1,4,146669,Hostel,0,2.9,0,Urban,no
464604,2,Both Alive,Own,0,Agriculture,Contract,0,24287,0,4,46522,Hostel,0,2.06,34193,Rural,yes
166003,2,Both Alive,Own,0,Foreign,Permanent,108277,9927,1,2,27387,DayScholar,1469,3.07,0,Urban,yes
503521,3,Single Mother,Rent,8617,Other,Contract,37647,2707,1,1,69007,DayScholar,3778,4.21,0,Urban,yes
244605,4,Single Father,Rent,9049,Foreign,Self-employed,86061,5461,1,1,103178,DayScholar,1182,2.03,0,Rural,no
285326,1,Single Mother,Rent,2453,Private Job,Self-employed,171564,46517,1,1,148573,DayScholar,3086,0.56,0,Rural,yes
807361,3,Both Alive,Rent,5923,Foreign,Permanent,0,13872,0,1,134812,Hostel,0,4.13,0,Urban,yes
277898,3,Both Alive,Own,0,Agriculture,Self-employed,73976,30197,1,4,97008,DayScholar,1295,2.32,23190,Rural,yes
368512,4,Both Alive,Rent,8083,Govt Job,Permanent,189276,9799,1,1,13313,Hostel,0,4.71,0,Urban,no
282143,1,Single Father,Own,0,Daily Wage,Contract,0,46152,1,3,24854,DayScholar,547,1.84,0,Rural,no
420720,3,Both Alive,Rent,3673,Foreign,Permanent,0,22779,0,3,63533,Hostel,0,3.19,0,Urban,no
839269,2,Single Father,Rent,3448,Agriculture,Contract,181693,20155,1,2,28456,DayScholar,662,2.93,63308,Rural,yes
414267,3,Both Alive,Rent,3163,Agriculture,Contract,150793,25386,1,4,24580,Hostel,0,4.44,18877,Urban,yes
128048,2,Single Mother,Rent,2345,Business,Contract,164208,8953,1,2,51219,Hostel,0,2.53,0,Urban,yes
853517,2,Both Alive,Own,0,Daily Wage,Contract,0,24148,0,2,13615,DayScholar,2368,2.51,0,Rural,yes
623405,4,Single Mother,Rent,4250,Private Job,Contract,0,24845,1,4,102990,Hostel,0,3.69,0,Rural,no
82663,2,Both Alive,Own,0,Daily Wage,Self-employed,120936,31469,1,2,99496,DayScholar,4065,1.02,0,Urban,no
467500,4,Both Alive,Rent,4736,Foreign,Contract,123438,48011,0,3,53046,DayScholar,4303,1.22,0,Urban,no
595954,2,Both Alive,Own,0,Business,Self-employed,29541,15965,1,2,83860,Hostel,0,2.1,0,Rural,no
65112,1,Single Mother,Rent,9798,Private Job,Contract,109523,15391,1,2,54232,DayScholar,4475,1.91,0,Rural,no
691808,1,Single Father,Rent,5159,Other,Contract,0,289,0,3,66025,DayScholar,4744,0.85,0,Rural,yes
368031,4,Both Alive,Rent,7982,Agriculture,Permanent,0,20386,1,4,81361,Hostel,0,3.19,16297,Rural,yes
164295,4,Single Mother,Rent,8682,Govt Job,Self-employed,69200,30557,1,2,43179,Hostel,0,3.94,0,Urban,yes
599036,4,Single Mother,Rent,3879,Private Job,Self-employed,10636,1767,1,3,32936,DayScholar,2367,2.18,0,Urban,no
847151,1,Single Mother,Own,0,Daily Wage,Permanent,0,560,0,3,79886,DayScholar,1260,1.32,0,Urban,no
736882,3,Single Mother,Own,0,Business,Contract,199323,24268,0,2,126609,DayScholar,2620,4.18,0,Urban,yes
277771,3,Both Alive,Rent,8470,Business,Contract,138894,43533,0,1,114488,DayScholar,1931,0.03,0,Rural,yes
515537,3,Single Mother,Rent,8709,Other,Permanent,118882,11035,0,4,93444,DayScholar,4010,3.74,0,Rural,no
98407,4,Both Alive,Own,0,Daily Wage,Contract,0,21381,0,4,34678,DayScholar,1324,1.39,0,Rural,no
830611,1,Single Mother,Own,0,Business,Contract,0,14999,1,1,126708,DayScholar,3008,0.34,0,Urban,no
950015,3,Single Mother,Own,0,Agriculture,Permanent,85224,25645,1,4,48549,Hostel,0,4.55,37914,Urban,no
992943,2,Single Father,Rent,5662,Agriculture,Contract,123184,1354,0,1,76763,DayScholar,2917,3.13,65786,Urban,yes
838816,3,Single Father,Own,0,Business,Permanent,19548,42299,1,1,114925,Hostel,0,0.84,0,Rural,no
289632,1,Single Mother,Rent,7196,Govt Job,Contract,14334,17297,1,1,18827,Hostel,0,0.1,0,Rural,yes
453211,1,Single Mother,Rent,9318,Business,Permanent,159805,48934,0,1,34243,Hostel,0,3.69,0,Urban,no
184194,3,Single Father,Rent,2114,Private Job,Permanent,0,26908,0,2,121909,DayScholar,3861,2.57,0,Rural,yes
985265,1,Single Mother,Own,0,Agriculture,Permanent,187609,42887,0,4,42938,DayScholar,563,0.2,9412,Rural,yes
297999,2,Both Alive,Own,0,Foreign,Permanent,0,4673,0,1,33431,DayScholar,4872,1.92,0,Urban,no
591167,3,Both Alive,Rent,6525,Private Job,Permanent,0,26295,1,1,79917,DayScholar,2548,1.99,0,Urban,no
634081,1,Single Father,Own,0,Other,Contract,116439,49363,1,1,144997,Hostel,0,2.44,0,Rural,no
271424,1,Both Alive,Own,0,Private Job,Self-employed,0,12419,0,4,74186,DayScholar,2989,2.5,0,Rural,no
350471,2,Both Alive,Own,0,Daily Wage,Contract,31145,27106,1,4,129113,DayScholar,1682,4.36,0,Rural,no
753846,3,Single Father,Rent,3558,Foreign,Self-employed,0,12122,0,1,146753,DayScholar,3637,3.31,0,Rural,yes
378093,4,Single Mother,Own,0,Private Job,Self-employed,0,16413,0,1,137108,Hostel,0,4.5,0,Urban,no
303326,2,Single Father,Rent,4426,Daily Wage,Self-employed,27155,14361,1,4,149321,Hostel,0,0.64,0,Rural,no
197110,3,Single Mother,Rent,2178,Agriculture,Permanent,10289,36380,1,3,109345,Hostel,0,4.5,66782,Urban,no
441906,2,Both Alive,Rent,6299,Agriculture,Permanent,67404,3295,1,1,33741,DayScholar,2730,4.88,80113,Rural,yes
59894,3,Single Mother,Own,0,Agriculture,Contract,22888,29154,1,2,13936,Hostel,0,4.13,91275,Rural,no
581684,1,Single Father,Rent,7400,Agriculture,Contract,0,2650,0,2,146303,Hostel,0,0.8,70663,Urban,no
251461,1,Single Father,Rent,6716,Other,Permanent,42999,34740,1,2,52368,Hostel,0,2.07,0,Urban,yes
703875,4,Single Father,Rent,7918,Daily Wage,Self-employed,0,39478,1,4,95247,DayScholar,921,4.67,0,Rural,no
437453,3,Single Mother,Rent,5070,Other,Contract,0,35475,0,1,48815,Hostel,0,0.65,0,Urban,yes
517201,3,Single Mother,Rent,3339,Foreign,Contract,72474,32110,0,2,13951,Hostel,0,0.29,0,Rural,no
342729,3,Both Alive,Own,0,Foreign,Permanent,0,15995,1,4,14101,DayScholar,3713,3.92,0,Urban,no
66246,2,Both Alive,Rent,5317,Foreign,Contract,0,34251,0,2,74427,DayScholar,2496,4.17,0,Urban,no
280679,1,Single Father,Rent,5680,Other,Self-employed,187281,39741,0,3,125867,Hostel,0,1.92,0,Urban,no
469170,1,Single Father,Own,0,Other,Self-employed,0,24487,0,1,144428,Hostel,0,0.24,0,Urban,no
521728,1,Both Alive,Own,0,Private Job,Permanent,49651,39025,1,2,91957,DayScholar,2930,1.1,0,Rural,no
428624,2,Single Father,Own,0,Foreign,Contract,174250,36164,1,1,103546,DayScholar,2811,4.11,0,Rural,no
92047,1,Single Mother,Own,0,Daily Wage,Self-employed,0,36620,0,3,98527,DayScholar,2787,2.49,0,Urban,yes
570911,2,Single Father,Own,0,Business,Self-employed,0,12698,1,2,109099,DayScholar,3228,1.68,0,Urban,no
541134,2,Both Alive,Own,0,Foreign,Permanent,0,22854,1,1,132681,Hostel,0,2.08,0,Urban,no
774908,1,Single Mother,Rent,4961,Other,Contract,140890,571,0,4,40179,DayScholar,1296,0.93,0,Urban,no
274240,3,Single Father,Rent,3887,Govt Job,Contract,124252,7303,0,2,123089,Hostel,0,4.68,0,Rural,yes
154737,3,Single Father,Rent,3595,Other,Permanent,0,5832,0,2,69127,Hostel,0,3.2,0,Rural,no
272770,1,Single Father,Own,0,Agriculture,Permanent,18207,27122,0,3,135221,Hostel,0,1.53,7998,Rural,no
352440,1,Single Mother,Own,0,Private Job,Self-employed,0,34350,0,1,64697,DayScholar,4650,4.36,0,Rural,yes
251594,2,Single Father,Own,0,Foreign,Permanent,79352,38682,0,4,29048,Hostel,0,3.57,0,Rural,no
142156,3,Single Father,Rent,2962,Private Job,Permanent,0,41209,0,2,48220,DayScholar,1444,3.57,0,Urban,yes
522358,3,Both Alive,Rent,8483,Govt Job,Self-employed,12248,38767,1,4,44396,Hostel,0,3.1,0,Rural,no
996569,1,Both Alive,Own,0,Agriculture,Contract,97699,25471,1,1,65163,DayScholar,2033,0.22,5501,Urban,no
789341,1,Single Mother,Rent,4377,Daily Wage,Permanent,197845,48764,1,3,148409,Hostel,0,4,0,Rural,yes
102509,4,Single Mother,Own,0,Private Job,Self-employed,150711,2932,1,4,66742,Hostel,0,4.14,0,Urban,no
396309,3,Both Alive,Rent,9875,Private Job,Self-employed,0,7898,1,4,52758,DayScholar,909,0.15,0,Rural,yes
439676,3,Single Mother,Own,0,Govt Job,Self-employed,151615,4167,1,2,87849,Hostel,0,2.58,0,Urban,no
178583,2,Single Mother,Own,0,Other,Self-employed,0,6741,0,2,100957,Hostel,0,4.35,0,Urban,yes
84976,1,Single Mother,Own,0,Daily Wage,Permanent,73400,34889,0,3,93910,DayScholar,2428,0.88,0,Urban,no
760632,4,Both Alive,Own,0,Agriculture,Contract,79341,47869,1,4,110909,Hostel,0,3.54,62277,Rural,no
310919,3,Single Mother,Own,0,Other,Contract,0,4847,1,2,147562,Hostel,0,2.73,0,Urban,no
979209,1,Single Mother,Rent,4015,Private Job,Permanent,104795,45833,1,4,27446,DayScholar,2870,1.34,0,Urban,yes
397033,3,Both Alive,Rent,8368,Daily Wage,Contract,131310,8518,1,3,87719,Hostel,0,1.18,0,Rural,no
966400,2,Single Father,Own,0,Private Job,Self-employed,0,8692,0,3,36594,DayScholar,1315,2.05,0,Rural,no
171395,2,Single Mother,Rent,4803,Daily Wage,Contract,89048,45433,1,3,25616,Hostel,0,1.68,0,Rural,yes
827461,4,Both Alive,Own,0,Agriculture,Permanent,122474,21271,1,4,105983,DayScholar,1496,4.13,54748,Rural,yes
316605,4,Single Mother,Rent,8463,Daily Wage,Self-employed,0,5329,0,3,86183,DayScholar,4250,3.1,0,Urban,no
463272,4,Single Mother,Rent,2702,Private Job,Contract,28528,25817,1,1,35017,Hostel,0,2.67,0,Urban,yes
926873,4,Single Father,Rent,7268,Govt Job,Contract,0,47088,0,3,53853,DayScholar,659,1.95,0,Urban,yes
145926,2,Both Alive,Own,0,Daily Wage,Permanent,64298,27227,0,4,17632,DayScholar,2425,2.79,0,Urban,yes
690354,3,Single Father,Rent,2157,Agriculture,Permanent,126015,40465,1,1,76423,DayScholar,1478,3.47,28194,Rural,yes
283892,1,Single Mother,Rent,4130,Business,Contract,0,23382,0,4,18930,DayScholar,2277,0.28,0,Rural,yes
385915,3,Single Father,Rent,9143,Foreign,Contract,0,27232,1,2,82322,DayScholar,4726,1.62,0,Urban,yes
486500,2,Both Alive,Rent,9387,Govt Job,Self-employed,0,16156,0,1,56426,DayScholar,2609,1.31,0,Urban,no
163438,1,Single Mother,Rent,7895,Private Job,Self-employed,0,37032,0,1,26000,DayScholar,4252,1.16,0,Urban,no
73088,1,Single Mother,Own,0,Agriculture,Self-employed,41073,28453,1,1,26175,Hostel,0,3.74,8419,Rural,yes
660957,4,Both Alive,Rent,3972,Govt Job,Contract,0,18775,0,4,86431,Hostel,0,1.87,0,Rural,yes
934512,1,Single Mother,Rent,7504,Daily Wage,Contract,178861,23838,1,2,61302,Hostel,0,4.35,0,Urban,no
860573,2,Both Alive,Rent,7186,Govt Job,Permanent,100360,6210,1,3,100586,DayScholar,863,2.99,0,Rural,no
725534,1,Both Alive,Own,0,Private Job,Permanent,0,43768,0,4,42185,Hostel,0,4.93,0,Urban,no
165861,3,Single Father,Own,0,Business,Contract,137353,28443,0,1,75502,Hostel,0,2.28,0,Urban,yes
446690,2,Both Alive,Own,0,Private Job,Contract,120364,46525,0,3,76179,Hostel,0,1.75,0,Urban,yes
656532,3,Single Father,Own,0,Foreign,Contract,0,44102,1,4,64500,Hostel,0,3.06,0,Urban,yes
679721,1,Single Mother,Own,0,Other,Contract,0,46811,0,2,125017,Hostel,0,3.3,0,Urban,no
588614,2,Both Alive,Own,0,Foreign,Contract,56533,17531,0,1,124252,DayScholar,1409,4.51,0,Rural,yes
444043,4,Single Father,Own,0,Govt Job,Self-employed,0,10242,0,1,148645,DayScholar,1267,1.22,0,Urban,no
696231,4,Single Mother,Own,0,Foreign,Permanent,0,3259,0,3,127649,Hostel,0,1.26,0,Urban,no
773335,1,Single Father,Own,0,Other,Permanent,0,26111,1,1,142456,Hostel,0,2.27,0,Rural,no
90290,2,Single Father,Rent,5884,Other,Permanent,0,39089,0,3,48637,Hostel,0,2.96,0,Rural,no
227480,3,Single Mother,Own,0,Foreign,Self-employed,0,20938,1,4,59564,DayScholar,601,2.61,0,Urban,no
855552,2,Single Mother,Own,0,Other,Permanent,0,27597,0,1,10874,Hostel,0,0.15,0,Rural,no
110560,2,Single Father,Own,0,Other,Permanent,20181,20944,1,2,47489,DayScholar,4425,3.5,0,Rural,no
397382,2,Single Father,Rent,9706,Daily Wage,Permanent,141676,17362,1,3,24910,DayScholar,4587,2.84,0,Rural,yes
131340,3,Single Father,Own,0,Private Job,Self-employed,118019,29772,0,1,95381,DayScholar,2352,3.32,0,Rural,no
480830,2,Single Mother,Rent,3770,Business,Contract,0,25058,0,1,135027,DayScholar,3593,3.59,0,Rural,yes
668374,4,Both Alive,Rent,9688,Govt Job,Self-employed,30501,13783,0,4,40040,DayScholar,1422,1.59,0,Rural,no
762254,3,Single Mother,Rent,5764,Other,Permanent,0,5353,0,3,42138,DayScholar,3227,2.11,0,Urban,no
455408,1,Single Mother,Own,0,Private Job,Permanent,130062,26926,1,3,129584,Hostel,0,3.57,0,Rural,no
101261,3,Single Father,Rent,6446,Foreign,Self-employed,186239,44748,0,3,36667,Hostel,0,1.53,0,Rural,no
727280,3,Single Mother,Own,0,Other,Contract,28430,6930,0,1,84962,DayScholar,1788,1.34,0,Rural,no
204641,4,Single Mother,Rent,7463,Agriculture,Permanent,0,36559,0,4,73870,DayScholar,4443,2.11,96752,Urban,no
837541,1,Single Mother,Own,0,Govt Job,Self-employed,0,43136,0,4,15531,Hostel,0,3.2,0,Urban,no
283611,1,Both Alive,Rent,9501,Business,Contract,0,4818,1,3,47055,Hostel,0,3.97,0,Rural,yes
638027,4,Single Father,Rent,3875,Daily Wage,Contract,0,5248,1,3,103841,Hostel,0,3.38,0,Urban,no
367110,2,Single Father,Rent,6067,Other,Self-employed,177212,48571,1,4,143916,DayScholar,519,1.98,0,Urban,yes
133781,3,Both Alive,Rent,8169,Foreign,Contract,0,12906,0,1,58130,DayScholar,3056,3.47,0,Rural,no
611036,4,Both Alive,Rent,7471,Private Job,Contract,0,32186,0,2,99503,Hostel,0,2.56,0,Rural,no
207216,2,Single Father,Own,0,Govt Job,Contract,0,43374,1,4,21798,Hostel,0,2.06,0,Rural,no
529062,3,Both Alive,Rent,3900,Other,Self-employed,35499,38070,1,4,12775,DayScholar,2882,4.29,0,Urban,yes
873739,3,Single Father,Own,0,Business,Permanent,0,46553,1,3,59012,DayScholar,3839,1.79,0,Rural,yes
913261,1,Single Father,Own,0,Other,Permanent,0,48065,1,1,21469,Hostel,0,4.87,0,Rural,no
284199,1,Single Mother,Rent,9410,Private Job,Permanent,49840,28813,1,1,88775,Hostel,0,3.49,0,Rural,yes
440912,4,Both Alive,Rent,3976,Agriculture,Self-employed,0,29451,1,1,147727,DayScholar,4145,1.94,80264,Urban,no
